PRODUCE,COST PER POUND,POUNDS SOLD,TOTAL
Spinach,4.12,19.5,80.34
Green cabbage,0.8,12,9.6
Garlic,3.07,36.5,112.06
Green cabbage,0.8,7.4,5.92
Eggplant,2.32,35.2,81.66
Spinach,4.12,1.5,6.18
Lime,1.06,20.2,21.41
Lettuce,1.88,12,22.56
Daikon,1.4,39.8,55.72
Cucumber,1.07,13.2,14.12
Avocados,3.23,22.2,71.71
Green cabbage,0.8,4.9,3.92
Tomatoes,3.16,38.2,120.71
Eggplant,2.32,15.5,35.96
Okra,2.26,11.4,25.76
Potatoes,0.86,30.5,26.23
Green cabbage,0.8,22.1,17.68
Fava beans,2.69,6.7,18.02
Lettuce,1.88,7.6,14.29
Fava beans,2.69,29.7,79.89
Bananas,0.86,28.3,24.34
Cucumber,1.07,4.2,4.49
Lettuce,1.88,0.7,1.32
Green peppers,1.89,29,54.81
Tomatoes,3.16,28.2,89.11
Eggplant,2.32,22.6,52.43
Green beans,2.52,2.8,7.06
Coconuts,1.18,17,20.06
Bok choy,1.42,8.1,11.5
Asparagus,2.49,9.8,24.4
Daikon,1.4,28.4,39.76
Red onion,0.78,32.7,25.51
Daikon,1.4,35.8,50.12
Tomatoes,3.16,7.6,24.02
Avocados,3.23,16.5,53.3
Apples,1.88,35.8,67.3
Bok choy,1.42,39.6,56.23
Orange,1.09,35.4,38.59
Grapefruit,0.76,3,2.28
Lemon,1.27,37.3,47.37
Apples,1.88,13.8,25.94
Asparagus,2.49,29.2,72.71
Potatoes,0.86,11.3,9.72
Avocados,3.23,34.2,110.47
Strawberries,4.4,13,57.2
Potatoes,0.86,24.4,20.98
Lime,1.06,21.8,23.11
Okra,2.26,39.4,89.04
Lime,1.06,10,10.6
Orange,1.09,18.3,19.95
Apples,1.88,3.5,6.58
Red onion,0.78,33,25.74
Avocados,3.23,30.1,97.22
Asparagus,2.49,16.9,42.08
Apples,1.88,38.4,72.19
Potatoes,0.86,39,33.54
Asparagus,2.49,34.4,85.66
Butternut squash,1.28,12.7,16.26
Red onion,0.78,15.4,12.01
Avocados,3.23,10.3,33.27
Beets,1.51,22.2,33.52
Bok choy,1.42,28.8,40.9
Kale,5.02,13.9,69.78
Potatoes,0.86,28.2,24.25
Yellow peppers,2.87,14.3,41.04
Asparagus,2.49,1.7,4.23
Garlic,3.07,36.9,113.28
Papaya,1.34,24.2,32.43
Kale,5.02,25.5,128.01
Parsnips,2.27,20.2,45.85
Eggplant,2.32,8.2,19.02
Grapefruit,0.76,38.7,29.41
Lemon,1.27,19.1,24.26
Green beans,2.52,21.5,54.18
Lettuce,1.88,34.6,65.05
Coconuts,1.18,28.7,33.87
Beets,1.51,20.2,30.5
Daikon,1.4,12.5,17.5
Eggplant,2.32,29,67.28
Bok choy,1.42,17.9,25.42
Daikon,1.4,35.7,49.98
Eggplant,2.32,38.8,90.02
Apricots,3.71,37.9,140.61
Green beans,2.52,35,88.2
Bok choy,1.42,22.3,31.67
Apples,1.88,24.1,45.31
Brussels sprouts,1.65,34.5,56.93
Grapes,2.63,25.9,68.12
Lime,1.06,30.5,32.33
Corn,1.07,8.1,8.67
Green peppers,1.89,18.4,34.78
Okra,2.26,27.3,61.7
Fava beans,2.69,33.5,90.12
Potatoes,0.86,14.5,12.47
Daikon,1.4,32.5,45.5
Lime,1.06,17.5,18.55
Potatoes,0.86,29.3,25.2
Tomatoes,3.16,6.8,21.49
Green cabbage,0.8,4.1,3.28
Ginger,5.13,7.1,36.42
Strawberries,4.4,36.2,159.28
Watermelon,0.66,21.5,14.19
Lime,1.06,26.3,27.88
Carrots,1.26,18,22.68
Papaya,1.34,12.5,16.75
Papaya,1.34,9.2,12.33
Green cabbage,0.8,5.5,4.4
Strawberries,4.4,7.3,32.12
Daikon,1.4,14.7,20.58
Lettuce,1.88,11.6,21.81
Lime,1.06,39.5,41.87
Grapefruit,0.76,10.9,8.28
Kale,5.02,2,10.04
Garlic,3.07,27.9,85.65
Green peppers,1.89,37.3,70.5
Watermelon,0.66,8.1,5.35
Lettuce,1.88,26,48.88
Grapes,2.63,15.4,40.5
Asparagus,2.49,21,52.29
Papaya,1.34,3.9,5.23
Beets,1.51,5.4,8.15
Tomatoes,3.16,38.2,120.71
Green cabbage,0.8,25,20
Apples,1.88,31.3,58.84
Bok choy,1.42,24.4,34.65
Corn,1.07,26.7,28.57
Garlic,3.07,11.5,35.31
Green peppers,1.89,26.4,49.9
Bok choy,1.42,6,8.52
Ginger,5.13,18.3,93.88
Butternut squash,1.28,4.8,6.14
Spinach,4.12,15.8,65.1
Asparagus,2.49,14.3,35.61
Okra,2.26,26.7,60.34
Eggplant,2.32,8.8,20.42
Spinach,4.12,35.2,145.02
Grapefruit,0.76,12.6,9.58
Watermelon,0.66,28.8,19.01
Butternut squash,1.28,36.8,47.1
Green cabbage,0.8,6.4,5.12
Bananas,0.86,26.5,22.79
Coconuts,1.18,5.1,6.02
Green peppers,1.89,23.6,44.6
Bok choy,1.42,29.7,42.17
Orange,1.09,13.2,14.39
Lettuce,1.88,28.7,53.96
Parsnips,2.27,26.6,60.38
Daikon,1.4,35.7,49.98
Tomatoes,3.16,14.1,44.56
Carrots,1.26,30.6,38.56
Fava beans,2.69,8.8,23.67
Okra,2.26,11.3,25.54
Red onion,0.78,8.5,6.63
Avocados,3.23,22.9,73.97
Tomatoes,3.16,37,116.92
Tomatoes,3.16,17.3,54.67
Asparagus,2.49,39.9,99.35
Daikon,1.4,33.8,47.32
Lime,1.06,22.2,23.53
Cucumber,1.07,19.3,20.65
Butternut squash,1.28,9.8,12.54
Kale,5.02,30,150.6
Spinach,4.12,3.9,16.07
Spinach,4.12,33.1,136.37
Yellow peppers,2.87,19.3,55.39
Celery,1.19,24.4,29.04
Apricots,3.71,3.1,11.5
Lettuce,1.88,11.5,21.62
Beets,1.51,27.1,40.92
Butternut squash,1.28,21.4,27.39
Bok choy,1.42,4.1,5.82
Lemon,1.27,21.5,27.31
Grapes,2.63,22.2,58.39
Potatoes,0.86,3.8,3.27
Butternut squash,1.28,18.3,23.42
Bananas,0.86,25.5,21.93
Green cabbage,0.8,20.6,16.48
Fava beans,2.69,0.5,1.35
Cucumber,1.07,28.2,30.17
Butternut squash,1.28,39.6,50.69
Green cabbage,0.8,12.5,10
Red onion,0.78,26.7,20.83
Papaya,1.34,4.7,6.3
Apples,1.88,1.9,3.57
Tomatoes,3.16,26.3,83.11
Eggplant,2.32,11.4,26.45
Strawberries,4.4,15.6,68.64
Green beans,2.52,26.9,67.79
Avocados,3.23,4.1,13.24
Lime,1.06,18.9,20.03
Coconuts,1.18,20.4,24.07
Apricots,3.71,37.9,140.61
Tomatoes,3.16,22.2,70.15
Red onion,0.78,6.2,4.84
Bananas,0.86,31.3,26.92
Papaya,1.34,1.8,2.41
Carrots,1.26,29.1,36.67
Grapefruit,0.76,21.4,16.26
Apricots,3.71,22.9,84.96
Yellow peppers,2.87,34.3,98.44
Garlic,3.07,15.5,47.59
Carrots,1.26,24.9,31.37
Carrots,1.26,23.7,29.86
Green peppers,1.89,0.8,1.51
Cherries,9.5,17.2,163.4
Grapefruit,0.76,25.7,19.53
Cherries,9.5,38.9,369.55
Corn,1.07,36.5,39.06
Lime,1.06,12.1,12.83
Orange,1.09,21.4,23.33
Tomatoes,3.16,18.3,57.83
Red onion,0.78,29.3,22.85
Fava beans,2.69,20.5,55.15
Lettuce,1.88,28,52.64
Potatoes,0.86,31.2,26.83
Cucumber,1.07,13.3,14.23
Grapefruit,0.76,19.5,14.82
Daikon,1.4,30.8,43.12
Apricots,3.71,1.8,6.68
Tomatoes,3.16,28,88.48
Fava beans,2.69,2.8,7.53
Okra,2.26,25,56.5
Green peppers,1.89,27.8,52.54
Green beans,2.52,21.3,53.68
Tomatoes,3.16,19.2,60.67
Bok choy,1.42,3.5,4.97
Garlic,3.07,25.3,77.67
Cherries,9.5,11.9,113.05
Yellow peppers,2.87,11.6,33.29
Papaya,1.34,19.4,26
Fava beans,2.69,14.3,38.47
Carrots,1.26,37.6,47.38
Papaya,1.34,23.4,31.36
Lime,1.06,9.7,10.28
Cucumber,1.07,13.3,14.23
Bok choy,1.42,32.5,46.15
Apples,1.88,19.7,37.04
Green peppers,1.89,24.4,46.12
Orange,1.09,5.7,6.21
Eggplant,2.32,6.4,14.85
Grapes,2.63,37.7,99.15
Eggplant,2.32,16.3,37.82
Ginger,5.13,2.1,10.77
Brussels sprouts,1.65,20.2,33.33
Strawberries,4.4,34.2,150.48
Lime,1.06,11.2,11.87
Spinach,4.12,37.8,155.74
Avocados,3.23,23.7,76.55
Cherries,9.5,36.9,350.55
Asparagus,2.49,20.6,51.29
Corn,1.07,5,5.35
Green cabbage,0.8,39.3,31.44
Green beans,2.52,26.3,66.28
Bok choy,1.42,7.2,10.22
Lime,1.06,3.2,3.39
Fava beans,2.69,17.9,48.15
Kale,5.02,39.4,197.79
Beets,1.51,28.2,42.58
Green beans,2.52,35.2,88.7
Apples,1.88,25.3,47.56
Kale,5.02,39.7,199.29
Tomatoes,3.16,26.2,82.79
Bananas,0.86,0.8,0.69
Green beans,2.52,10.9,27.47
Orange,1.09,19.8,21.58
Bok choy,1.42,7.3,10.37
Ginger,5.13,11.9,61.05
Strawberries,4.4,31.5,138.6
Potatoes,0.86,20.1,17.29
Orange,1.09,5.7,6.21
Garlic,3.07,30.7,94.25
Potatoes,0.86,14.4,12.38
Yellow peppers,2.87,37.9,108.77
Apricots,3.71,6.5,24.12
Grapes,2.63,24.4,64.17
Potatoes,0.86,1.5,1.29
Watermelon,0.66,36.2,23.89
Potatoes,0.86,13,11.18
Apricots,3.71,37.3,138.38
Grapes,2.63,38.7,101.78
Lime,1.06,12.7,13.46
Tomatoes,3.16,22.5,71.1
Green peppers,1.89,38.7,73.14
Eggplant,2.32,1.1,2.55
Beets,1.51,37.2,56.17
Lettuce,1.88,31.6,59.41
Strawberries,4.4,27,118.8
Okra,2.26,35,79.1
Green peppers,1.89,19.9,37.61
Apricots,3.71,26.3,97.57
Spinach,4.12,27.8,114.54
Potatoes,0.86,30.3,26.06
Fava beans,2.69,30,80.7
Green beans,2.52,22.9,57.71
Asparagus,2.49,38.7,96.36
Avocados,3.23,26.8,86.56
Garlic,3.07,15.7,48.2
Bok choy,1.42,25.7,36.49
Ginger,5.13,37.4,191.86
Ginger,5.13,18.4,94.39
Corn,1.07,1.3,1.39
Lime,1.06,11.8,12.51
Spinach,4.12,15.3,63.04
Tomatoes,3.16,18.8,59.41
Brussels sprouts,1.65,22.1,36.47
Avocados,3.23,32.9,106.27
Ginger,5.13,6.3,32.32
Okra,2.26,19.2,43.39
Strawberries,4.4,21.2,93.28
Cherries,9.5,16.7,158.65
Eggplant,2.32,21,48.72
Grapefruit,0.76,14.8,11.25
Kale,5.02,35.2,176.7
Avocados,3.23,38.6,124.68
Garlic,3.07,3.4,10.44
Cherries,9.5,14.1,133.95
Beets,1.51,27.3,41.22
Bananas,0.86,18.5,15.91
Potatoes,0.86,29.3,25.2
Cucumber,1.07,38,40.66
Tomatoes,3.16,30.8,97.33
Daikon,1.4,2.6,3.64
Strawberries,4.4,10.8,47.52
Spinach,4.12,8.3,34.2
Beets,1.51,31.7,47.87
Okra,2.26,10.8,24.41
Fava beans,2.69,30.6,82.31
Orange,1.09,2,2.18
Apricots,3.71,9.7,35.99
Parsnips,2.27,12.8,29.06
Okra,2.26,16.5,37.29
Watermelon,0.66,39.5,26.07
Lettuce,1.88,7.7,14.48
Cucumber,1.07,37.2,39.8
Brussels sprouts,1.65,32.5,53.63
Lime,1.06,3.6,3.82
Eggplant,2.32,15.4,35.73
Butternut squash,1.28,2.5,3.2
Brussels sprouts,1.65,20.5,33.83
Green peppers,1.89,36,68.04
Apples,1.88,12.1,22.75
Corn,1.07,18.7,20.01
Lemon,1.27,17.1,21.72
Corn,1.07,33.7,36.06
Yellow peppers,2.87,32.5,93.28
Beets,1.51,23.7,35.79
Green cabbage,0.8,24.6,19.68
Green beans,2.52,24.2,60.98
Celery,1.19,10.1,12.02
Bananas,0.86,29.8,25.63
Eggplant,2.32,2,4.64
Lettuce,1.88,10.2,19.18
Strawberries,4.4,1.6,7.04
Brussels sprouts,1.65,37,61.05
Tomatoes,3.16,37.8,119.45
Potatoes,0.86,27.1,23.31
Lemon,1.27,35.3,44.83
Corn,1.07,25.5,27.29
Fava beans,2.69,28.7,77.2
Strawberries,4.4,34.1,150.04
Beets,1.51,33.4,50.43
Daikon,1.4,1.7,2.38
Lettuce,1.88,18.4,34.59
Brussels sprouts,1.65,15,24.75
Yellow peppers,2.87,37.3,107.05
Watermelon,0.66,33,21.78
Bananas,0.86,9.1,7.83
Tomatoes,3.16,4.4,13.9
Butternut squash,1.28,2.8,3.58
Beets,1.51,38,57.38
Coconuts,1.18,34.3,40.47
Watermelon,0.66,3.9,2.57
Red onion,0.78,20.4,15.91
Asparagus,2.49,4.8,11.95
Celery,1.19,26.1,31.06
Green cabbage,0.8,38,30.4
Grapefruit,0.76,17.6,13.38
Apricots,3.71,18.9,70.12
Papaya,1.34,8.5,11.39
Bok choy,1.42,5.5,7.81
Coconuts,1.18,25,29.5
Red onion,0.78,28.1,21.92
Avocados,3.23,30.9,99.81
Apples,1.88,25.7,48.32
Green beans,2.52,7.7,19.4
Fava beans,2.69,17.9,48.15
Bok choy,1.42,35.4,50.27
Butternut squash,1.28,31.1,39.81
Papaya,1.34,4.3,5.76
Butternut squash,1.28,19,24.32
Papaya,1.34,26.1,34.97
Strawberries,4.4,37.4,164.56
Garlic,3.07,30.3,93.02
Fava beans,2.69,7,18.83
Grapes,2.63,34.4,90.47
Garlic,3.07,5.2,15.96
Avocados,3.23,29.7,95.93
Lemon,1.27,20.8,26.42
Butternut squash,1.28,33,42.24
Beets,1.51,5.9,8.91
Beets,1.51,14,21.14
Lettuce,1.88,18.8,35.34
Corn,1.07,18.3,19.58
Daikon,1.4,35.3,49.42
Green peppers,1.89,22.9,43.28
Avocados,3.23,25,80.75
Lemon,1.27,11.7,14.86
Apricots,3.71,13.5,50.09
Corn,1.07,32.8,35.1
Daikon,1.4,27.8,38.92
Daikon,1.4,33.9,47.46
Avocados,3.23,3.4,10.98
Beets,1.51,18.1,27.33
Eggplant,2.32,15.5,35.96
Beets,1.51,28.4,42.88
Cucumber,1.07,17,18.19
Bananas,0.86,15.1,12.99
Cherries,9.5,4.1,38.95
Green peppers,1.89,34.6,65.39
Green beans,2.52,36.2,91.22
Beets,1.51,35.6,53.76
Lettuce,1.88,21,39.48
Bananas,0.86,8.1,6.97
Bok choy,1.42,30.5,43.31
Bananas,0.86,33.9,29.15
Cucumber,1.07,36.4,38.95
Bok choy,1.42,37.5,53.25
Spinach,4.12,25.3,104.24
Garlic,3.07,23.6,72.45
Okra,2.26,26.6,60.12
Bok choy,1.42,32.2,45.72
Apricots,3.71,24,89.04
Cherries,9.5,18.3,173.85
Coconuts,1.18,18.7,22.07
Papaya,1.34,17.5,23.45
Fava beans,2.69,22.6,60.79
Garlic,3.07,22.6,69.38
Yellow peppers,2.87,31.5,90.41
Ginger,5.13,23.5,120.56
Bananas,0.86,37.1,31.91
Green beans,2.52,26.1,65.77
Okra,2.26,5.1,11.53
Apricots,3.71,7.1,26.34
Tomatoes,3.16,39.4,124.5
Ginger,5.13,13.6,69.77
Lettuce,1.88,14.7,27.64
Carrots,1.26,33.1,41.71
Green peppers,1.89,13.9,26.27
Potatoes,0.86,8.3,7.14
Grapes,2.63,38.4,100.99
Garlic,3.07,11.8,36.23
Coconuts,1.18,20.6,24.31
Beets,1.51,3.2,4.83
Butternut squash,1.28,39.6,50.69
Eggplant,2.32,12.5,29
Beets,1.51,30.9,46.66
Cherries,9.5,19.7,187.15
Avocados,3.23,1.1,3.55
Orange,1.09,29.1,31.72
Fava beans,2.69,39.1,105.18
Ginger,5.13,2.6,13.34
Papaya,1.34,9.5,12.73
Orange,1.09,23.1,25.18
Lime,1.06,23.8,25.23
Asparagus,2.49,7.5,18.68
Cherries,9.5,19.5,185.25
Papaya,1.34,37.6,50.38
Brussels sprouts,1.65,32.8,54.12
Lemon,1.27,24.9,31.62
Asparagus,2.49,0.5,1.25
Beets,1.51,1.5,2.27
Cucumber,1.07,1.1,1.18
Lime,1.06,32.1,34.03
Bananas,0.86,23.1,19.87
Grapes,2.63,2.2,5.79
Green cabbage,0.8,8.8,7.04
Coconuts,1.18,32.6,38.47
Tomatoes,3.16,15.8,49.93
Parsnips,2.27,14.4,32.69
Cucumber,1.07,29.8,31.89
Green peppers,1.89,9.7,18.33
Bananas,0.86,26.2,22.53
Green beans,2.52,31.4,79.13
Celery,1.19,5.4,6.43
Lime,1.06,22.7,24.06
Potatoes,0.86,6.4,5.5
Parsnips,2.27,37.1,84.22
Bok choy,1.42,34.1,48.42
Butternut squash,1.28,4.1,5.25
Yellow peppers,2.87,38,109.06
Green peppers,1.89,29.1,55
Butternut squash,1.28,26.3,33.66
Bok choy,1.42,18,25.56
Spinach,4.12,0.9,3.71
Brussels sprouts,1.65,25.4,41.91
Yellow peppers,2.87,28.4,81.51
Potatoes,0.86,35.6,30.62
Lettuce,1.88,24.1,45.31
Carrots,1.26,37.9,47.75
Butternut squash,1.28,10.4,13.31
Orange,1.09,34.1,37.17
Butternut squash,1.28,35.3,45.18
Asparagus,2.49,25.1,62.5
Avocados,3.23,13.1,42.31
Celery,1.19,18.5,22.02
Carrots,1.26,35.7,44.98
Green cabbage,0.8,21.4,17.12
Kale,5.02,7.3,36.65
Grapes,2.63,20.4,53.65
Fava beans,2.69,12.6,33.89
Red onion,0.78,36.6,28.55
Green peppers,1.89,19.9,37.61
Coconuts,1.18,26.7,31.51
Corn,1.07,29.6,31.67
Eggplant,2.32,3.8,8.82
Cherries,9.5,37.2,353.4
Bok choy,1.42,11.5,16.33
Beets,1.51,6.8,10.27
Grapes,2.63,26.1,68.64
Green peppers,1.89,4.4,8.32
Grapefruit,0.76,34.5,26.22
Cucumber,1.07,32.4,34.67
Strawberries,4.4,28.7,126.28
Celery,1.19,10.9,12.97
Apricots,3.71,28.7,106.48
Grapefruit,0.76,3.1,2.36
Carrots,1.26,31.2,39.31
Ginger,5.13,22.4,114.91
Carrots,1.26,35.2,44.35
Eggplant,2.32,24.1,55.91
Lemon,1.27,33.8,42.93
Lime,1.06,37.7,39.96
Cucumber,1.07,19.8,21.19
Tomatoes,3.16,25.3,79.95
Brussels sprouts,1.65,14.2,23.43
Lemon,1.27,34.6,43.94
Asparagus,2.49,0.5,1.25
Spinach,4.12,38.7,159.44
Green beans,2.52,23.1,58.21
Green beans,2.52,36.3,91.48
Kale,5.02,14.6,73.29
Eggplant,2.32,28.9,67.05
Fava beans,2.69,37.5,100.88
Cucumber,1.07,37.2,39.8
Eggplant,2.32,18.1,41.99
Spinach,4.12,18.6,76.63
Bananas,0.86,20.2,17.37
Green beans,2.52,24.2,60.98
Spinach,4.12,11.1,45.73
Coconuts,1.18,35,41.3
Carrots,1.26,39.3,49.52
Fava beans,2.69,12.6,33.89
Bok choy,1.42,35.6,50.55
Tomatoes,3.16,18.2,57.51
Green beans,2.52,18.2,45.86
Green beans,2.52,15,37.8
Lime,1.06,22.2,23.53
Watermelon,0.66,17.6,11.62
Apples,1.88,13,24.44
Garlic,3.07,0.5,1.54
Daikon,1.4,34.1,47.74
Tomatoes,3.16,36,113.76
Daikon,1.4,28,39.2
Tomatoes,3.16,0.8,2.53
Tomatoes,3.16,36.7,115.97
Lemon,1.27,36,45.72
Potatoes,0.86,23.5,20.21
Potatoes,0.86,34.4,29.58
Bananas,0.86,25.6,22.02
Tomatoes,3.16,0.9,2.84
Grapes,2.63,10.3,27.09
Lemon,1.27,3.4,4.32
Orange,1.09,26.6,28.99
Coconuts,1.18,8.5,10.03
Red onion,0.78,39,30.42
Okra,2.26,23.7,53.56
Beets,1.51,6.9,10.42
Orange,1.09,8.2,8.94
Spinach,4.12,8.9,36.67
Green cabbage,0.8,32.2,25.76
Ginger,5.13,20.5,105.17
Papaya,1.34,24,32.16
Red onion,0.78,17.2,13.42
Yellow peppers,2.87,15.5,44.49
Apricots,3.71,3.4,12.61
Daikon,1.4,12.9,18.06
Garlic,3.07,39.6,121.57
Cucumber,1.07,34.8,37.24
Bananas,0.86,22,18.92
Watermelon,0.66,31.5,20.79
Coconuts,1.18,27.7,32.69
Lime,1.06,24.5,25.97
Watermelon,0.66,20.4,13.46
Watermelon,0.66,23.1,15.25
Grapefruit,0.76,12.5,9.5
Fava beans,2.69,14.5,39.01
Tomatoes,3.16,12.9,40.76
Bok choy,1.42,20.9,29.68
Garlic,3.07,31.4,96.4
Bok choy,1.42,2.6,3.69
Fava beans,2.69,27,72.63
Asparagus,2.49,23.4,58.27
Lemon,1.27,39.4,50.04
Parsnips,2.27,1.9,4.31
Strawberries,4.4,2.5,11
Potatoes,0.86,3.3,2.84
Green cabbage,0.8,33.2,26.56
Yellow peppers,2.87,32.4,92.99
Carrots,1.26,13.2,16.63
Spinach,4.12,3.9,16.07
Kale,5.02,16.1,80.82
Corn,1.07,18.5,19.8
Orange,1.09,35.5,38.7
Green cabbage,0.8,30.9,24.72
Strawberries,4.4,21.2,93.28
Green beans,2.52,21.5,54.18
Daikon,1.4,16.3,22.82
Ginger,5.13,3.3,16.93
Brussels sprouts,1.65,14.9,24.59
Eggplant,2.32,10.3,23.9
Kale,5.02,2.1,10.54
Cherries,9.5,24.5,232.75
Fava beans,2.69,8.2,22.06
Bananas,0.86,27.8,23.91
Beets,1.51,28.9,43.64
Fava beans,2.69,29.5,79.36
Lime,1.06,24.4,25.86
Ginger,5.13,11.2,57.46
Watermelon,0.66,22.1,14.59
Cherries,9.5,21.3,202.35
Bananas,0.86,35.9,30.87
Tomatoes,3.16,15.8,49.93
Bananas,0.86,28.2,24.25
Potatoes,0.86,20.1,17.29
Bok choy,1.42,23.8,33.8
Beets,1.51,6.2,9.36
Strawberries,4.4,5.4,23.76
Yellow peppers,2.87,39.4,113.08
Avocados,3.23,3.3,10.66
Beets,1.51,35.1,53
Garlic,3.07,14.2,43.59
Okra,2.26,6.9,15.59
Spinach,4.12,22.8,93.94
Lemon,1.27,34.5,43.82
Carrots,1.26,18.2,22.93
Daikon,1.4,20.3,28.42
Tomatoes,3.16,32.8,103.65
Bananas,0.86,31.8,27.35
Tomatoes,3.16,14.3,45.19
Beets,1.51,5.6,8.46
Spinach,4.12,10.7,44.08
Grapefruit,0.76,8.6,6.54
Coconuts,1.18,36.2,42.72
Butternut squash,1.28,39.4,50.43
Watermelon,0.66,28,18.48
Avocados,3.23,19.2,62.02
Brussels sprouts,1.65,31.9,52.64
Red onion,0.78,7.6,5.93
Beets,1.51,17.8,26.88
Garlic,3.07,31.4,96.4
Brussels sprouts,1.65,22.6,37.29
Papaya,1.34,13.9,18.63
Eggplant,2.32,21,48.72
Strawberries,4.4,19.7,86.68
Butternut squash,1.28,9.1,11.65
Apples,1.88,1,1.88
Kale,5.02,36.1,181.22
Corn,1.07,35.1,37.56
Papaya,1.34,40,53.6
Cucumber,1.07,6.6,7.06
Grapefruit,0.76,7.3,5.55
Grapefruit,0.76,6.1,4.64
Green peppers,1.89,34.7,65.58
Green peppers,1.89,24.7,46.68
Kale,5.02,3.5,17.57
Apples,1.88,39.9,75.01
Cherries,9.5,3.3,31.35
Grapes,2.63,29.5,77.59
Tomatoes,3.16,22.8,72.05
Parsnips,2.27,22.9,51.98
Asparagus,2.49,21.1,52.54
Lime,1.06,37.8,40.07
Fava beans,2.69,37.1,99.8
Carrots,1.26,10.4,13.1
Yellow peppers,2.87,21,60.27
Eggplant,2.32,32.5,75.4
Fava beans,2.69,35.5,95.5
Potatoes,0.86,12,10.32
Grapes,2.63,7.9,20.78
Garlic,3.07,39.4,120.96
Parsnips,2.27,9.7,22.02
Strawberries,4.4,6.7,29.48
Beets,1.51,24.2,36.54
Green peppers,1.89,22.6,42.71
Ginger,5.13,17.8,91.31
Avocados,3.23,9.1,29.39
Avocados,3.23,36.1,116.6
Brussels sprouts,1.65,18.6,30.69
Eggplant,2.32,1.5,3.48
Eggplant,2.32,16.8,38.98
Green peppers,1.89,21.3,40.26
Yellow peppers,2.87,30.5,87.54
Lime,1.06,7.8,8.27
Carrots,1.26,33.3,41.96
Cherries,9.5,0.5,4.75
Tomatoes,3.16,20,63.2
Coconuts,1.18,39.5,46.61
Potatoes,0.86,25.1,21.59
Grapes,2.63,9.4,24.72
Watermelon,0.66,34.5,22.77
Avocados,3.23,15.2,49.1
Coconuts,1.18,31.6,37.29
Potatoes,0.86,1.2,1.03
Orange,1.09,18.3,19.95
Beets,1.51,12.5,18.88
Lemon,1.27,16.9,21.46
Grapefruit,0.76,15.6,11.86
Green cabbage,0.8,4.2,3.36
Avocados,3.23,31.9,103.04
Fava beans,2.69,28.2,75.86
Butternut squash,1.28,8.5,10.88
Avocados,3.23,38.9,125.65
Grapes,2.63,0.9,2.37
Celery,1.19,19,22.61
Celery,1.19,31.6,37.6
Brussels sprouts,1.65,33.9,55.94
Celery,1.19,23.8,28.32
Apricots,3.71,23.3,86.44
Apples,1.88,35.8,67.3
Apricots,3.71,4.7,17.44
Papaya,1.34,23.2,31.09
Red onion,0.78,25.4,19.81
Asparagus,2.49,33.1,82.42
Apricots,3.71,9.2,34.13
Lime,1.06,22.5,23.85
Garlic,3.07,13.5,41.45
Yellow peppers,2.87,27.8,79.79
Green beans,2.52,10.5,26.46
Potatoes,0.86,5.7,4.9
Green cabbage,0.8,33.1,26.48
Coconuts,1.18,17.9,21.12
Beets,1.51,6.5,9.82
Cucumber,1.07,28.9,30.92
Bananas,0.86,3.6,3.1
Lettuce,1.88,8.6,16.17
Green beans,2.52,20.5,51.66
Daikon,1.4,1.4,1.96
Cherries,9.5,15.1,143.45
Watermelon,0.66,12.9,8.51
Grapes,2.63,34.7,91.26
Coconuts,1.18,0.6,0.71
Watermelon,0.66,37.6,24.82
Apples,1.88,11.5,21.62
Strawberries,4.4,24.7,108.68
Grapes,2.63,32.9,86.53
Beets,1.51,11.4,17.21
Papaya,1.34,4.7,6.3
Asparagus,2.49,17.8,44.32
Beets,1.51,6.2,9.36
Watermelon,0.66,13.2,8.71
Lemon,1.27,16.6,21.08
Potatoes,0.86,12.8,11.01
Kale,5.02,8.9,44.68
Avocados,3.23,16.1,52
Ginger,5.13,12.7,65.15
Lettuce,1.88,7.3,13.72
Ginger,5.13,26.2,134.41
Daikon,1.4,37.1,51.94
Cherries,9.5,34.9,331.55
Celery,1.19,33.6,39.98
Orange,1.09,32.3,35.21
Cherries,9.5,0.8,7.6
Beets,1.51,17.6,26.58
Daikon,1.4,2.6,3.64
Lemon,1.27,8.6,10.92
Potatoes,0.86,19,16.34
Parsnips,2.27,9.3,21.11
Bananas,0.86,29.8,25.63
Okra,2.26,3.7,8.36
Watermelon,0.66,0.7,0.46
Daikon,1.4,8.6,12.04
Cherries,9.5,13.7,130.15
Bananas,0.86,25.4,21.84
Coconuts,1.18,20.3,23.95
Lettuce,1.88,36.2,68.06
Cherries,9.5,2.2,20.9
Eggplant,2.32,10.3,23.9
Asparagus,2.49,13.7,34.11
Carrots,1.26,10.5,13.23
Cherries,9.5,1.9,18.05
Fava beans,2.69,6,16.14
Green cabbage,0.8,8.7,6.96
Ginger,5.13,13,66.69
Potatoes,0.86,8.1,6.97
Yellow peppers,2.87,18.3,52.52
Avocados,3.23,13.4,43.28
Parsnips,2.27,40,90.8
Eggplant,2.32,26.3,61.02
Watermelon,0.66,2.8,1.85
Lemon,1.27,14.6,18.54
Cherries,9.5,11,104.5
Green beans,2.52,3.3,8.32
Brussels sprouts,1.65,28.9,47.69
Cherries,9.5,15.4,146.3
Red onion,0.78,9.7,7.57
Apples,1.88,11.6,21.81
Orange,1.09,13.4,14.61
